track_id,track_name,duration_ms,popularity,explicit,key,mode,tempo,time_signature,preview_url,artist_genres
6sFEubIG6L1RYPAVyZ6U2m,Chemicals,216687,5,False,,,,,,"melodic techno, melodic house, progressive house, melodic techno, afro tech, melodic house, afro house"
4UyAtnwhaKv7EG1BdkBYRI,Ready To Let Go,187973,61,False,,,,,,
0UA2P9bUJcajjb5AH2CO30,Lost Spirits,285948,7,False,,,,,,"melodic techno, minimal techno, techno, melodic house"
5bkoTCCLIFidGG6ErZQzSB,Feels So Good,189003,31,False,,,,,,"trance, progressive trance, progressive house, electronica, edm, trance"
2wqR9e7MKzDsEbq5vISqLD,Sugar - Original Mix,345238,0,False,,,,,,nu disco
6g3ApwzHq2WZ6o7ChYfVp2,Second Nature,445412,0,False,,,,,,"techno, minimal techno, acid techno"
59QNYJwQhLWWZmem0TTSDk,Resurrection - Axwell's Recut Club Version,300585,0,False,,,,,,
6d4qztM78NnFJKP9hFnjx3,Be Mine - Agrume Remix,227410,28,False,,,,,,
38qAaZpFyxhPoLnsr6d7bX,Iyéwaye,460266,37,False,,,,,,"organic house, minimal techno"
5o51kWHj1mZEmyInUzdSsO,One Word,492064,3,False,,,,,,"organic house, minimal techno"
1ReC9EnMiV32u9T2BDDZOs,FAWL (From Amsterdam With Love) - Original Mix,296333,0,False,,,,,,"big room, future house, progressive house"
3x3lq0IUkLEv4apfJxwgwd,Fiona Coyne,244291,0,False,,,,,,"vaporwave, nu disco"
73Iz0ppjXiDwgXqXaMd9Xp,Tom's Diner (feat. Britney Spears),212413,40,False,,,,,,"italo disco, disco, pop"
1m2GfwJEr5UULC38LxFHO8,Goosebumps,196600,19,False,,,,,,
2B8eAzF1rlTOLynq5zgXsG,Never Say Goodbye - Radio Edit,204942,0,False,,,,,,"big room, edm, progressive house, electronica, electro house, big room, edm"
2QQkScIO5z31KgUwlEzQB2,First Time,220034,0,True,,,,,,"indie dance, italo disco, italo dance, jazz house"
3xATEhxjTSArvaWteLLtZg,Santa Rosa,373914,36,False,,,,,,"chillstep, downtempo, idm, trip hop"
